,hasil
612,eks menteri soeharto kritik pindah ibu kota desain old trafford jakarta 
613,cepatlah ibu kota pindah ke kalimantan biar jawa barat ga padat penduduknya ga banyak polusi udara asap dimana mana kayak jakarta tuh udah ga sehat udaranya
614,ribut ribut pindah ibu kota ketua mpr sarankan fokus penanganan papua 
615,ribut ribut pindah ibu kota ketua mpr sarankan fokus penanganan papua 
616,ribut ribut pindah ibu kota ketua mpr sarankan fokus penanganan papua 
617, pindah ibu kota ada hubungan langsung tdk buat kesejahtraan rakyat pindah ibu kota butuh biaya besar duit dari mana ngutang lagi 
618, gimana bang klo rencana pemindahan ibu kota ke kubangan lumput lapindo berandai andai saja tp sblm pindah gmna klo dibahas dulu ditv oon hadirkan pakar pakar gk guna spt roki gerung fahri hamzah fadli zonk ridwan saidi ini semua pakar mumpuni bacotannya 
619,katamu pindah ibu kota adalah bukti gagalnya dia macet banjir kestabilan lahan hei cantik itu semua klasik bukan lempar tanggungjawab kritikmu kemarin bukan kritik membangun tapi nyinyir terhadap pemerintah posisimu saat itu sbg oposisi
620,asvi warman adam lipi cerita sejarah ibu kota gagal pindah 
621, emng mudah pindah ibu kota per tahun sekli
622,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
623,ibu kota tidak perlu pindah kolamnya saja yg di kuras 
624,emil salim lebih baik bangun sdm ketimbang pindah ibu kota 
625, ibu kota negara pindah itu kalau ekonomi kita maju kalau ekonomi nyungsep uangnya dari mana minjem lagi rakyat yang menanggung bebannya sekarang harga kebutuhan pokok sudah melambung sedangkan tdl bbm pajak juga naik hal ini semua sangat mencekik rakyat 
626, di kirain mindahin ibu kota negara seperti pindah rumah miiikiiir 
627,pindah ibu kota emang tdk bertujuan menyelesaikan masalah jakarta masalah jakarta serahkan ke lah 
628, permasalahan bangsa super banyak pemerintah malah sibuk mikir soal pindah ibu kota yg sebetulnya tdk urgent bgt
629,pantas saja bernafsu tuk pindah ibu kota ke kalimantan 
630,sejarawan lipi asvi warman adam menceritakan kembali berbagai momen sejarah yang dialami indonesia berkaitan dengan pemindahan ibu kota negara 
631, semoga semuanya paham dengan maksud ini orang tiongkok cina mulai detik sekarang sdh banyak di negara trsebut yg hakekatnya brada di pulau kalimantan sudah saya bayangkan apa yg akan terjadi kalau ibu kota negara jadi pindah di kalimantan ramaikan 
632,mungkin contoh makna pribahasa besar pasak daripada tiang adalah pindah ibu kota di saat banyak utang
633, pantes ibu kota mau di pindah 
634, ya sudah pak kosongin saja jkt ben nggk ono gedung bertingkat jkt buat pkl aja semuanya ben ibu kota pindah saja sampean jadi ayem tentrem
635,asvi warman adam lipi cerita sejarah ibu kota gagal pindah 
636, ibu kota kpk dipikirin rakyat tu pikirin kesejahtraannya ekonomi ancur an kok mau pindah ibukota mikiirrr 
637, menurut lu penting mana bro antara peningkatan perekonomian rakyat dg pindah ibu kota 
638,masih banyak yg perlu di urus di negeri ini tdk ada urgennya pindah ibukota kemendagri sarankan tak ada pilkada di ibu kota baru via 
639, yaaa isu pengikisan tanah di jkt emang isu udh lama bahkan bkan sebuah isu lg udh menjadi permasalahan tapi kyk nya tetep si biar kata ibu kota pindah jkt bakal tetep padet karna masyarakat butuh makan nasi bkan politik jadi elit berfokus di kalimantan sudut pandang si
640,kalo ibukota pindah ke kalimantan katanya di sebut sambel terong pedas samarinda balikpapan tenggarong panajam dan sekitarnya kalo ibu kota pindah ke sulsel disebut mama gatal makassar maros gowa takalar 
641, pindah ibu kota sejak era soekarno baru jokowi yang berani eksekusi 
642, khawatir kehilangan lahan kalau ibu kota pindah 
643,pantes nyinyirr pemborosan soal pindah ibu kota ternyata takut kehilangan tanah dsna 
644,dari dulu sama sekali ga pernah mw tau tentang politik indonesia tp lama kelamaan geram juga karena ibu kota mw di pindah ke kalimantan waras ga sih salah satu paru paru dunia mw di hilangkan bagaimana tanggapan nya prof 
645,infografis tujuh negara ini pindah ibu kota 
646,pa anies nanti klu ibu kota pindah istana negara jangan dipakai ya ntar dipakai kongkow lagih 
647,pantesan paling vokal soal ibu kota pindah takut junjungan kehilangan lahan ternyata 
648,indef sarankan ibu kota pindah saat kondisi ekonomi mapan dan stabil 
649,kenapa tdk gunakan untuk mengurusi rakyat dulu mengapa hrs buru ada apa hai pindah ibu kota tak semudah pindah kontrakan 
650,semakin cepat ibu kota pindah baik untuk pemerataan ekonomi ri 
651, siapa ya yg mengeruk keuntungan adanya rencana pindah ibu kota 
652,kenapa tdk gunakan untuk mengurusi rakyat dulu mengapa hrs buru ada apa hai pindah ibu kota tak semudah pindah kontrakan 
653, ke nunggu ibu kota pindah 
654, inisial yang maki a s b u nunggu ibu kota pindah 
655,pemborosan bilang aja takut kehilangan lahan jika ibu kota jadi pindah 
656, dia pikir kalo ibu kota pindah macetnya ilang ya ikut pindah geblek yg namanya ibukota pastinya orang pada datang kesitu 
657,lagian tujuan utamanya pindah ibu kota apa emangnya sepenting apakah buat rakyat indonesia 
658, bentar lagi ibu kota mau pindah tidak usah khawatir
659,ada tokoh yg punya usul ibu kota pindah tiap lima tahun sekali hahahahahahaha kenapa jd pada dungu begini 
660, yg penting proyek infrastruktur ibu kota baru segera deal biar komisi cair soal bneran jadi pindah atau gak bukan urusan saya 
661, halah enggak usah pda ribut pindah ibu kota ibu kota negara akan ttp di jkt yah setidaknya thn yg akn dtng 
662, yo tambah lemot aset² di dki itu trilyunan bro dan tak semudah itu itk pindah ibu kota konyol 
663, kita tidak bisa terus menerus menggantungkan ke satu pulau ini makanya tidak bisa pindah ke pulau reklamasi dan jonggol kita pindah ke suatu tempat 
664, ntar lg ada yg ngusulin pindah ibu kota ri ke peking 
665,viralkan buat yang belum tau inilah alasan sesungguhnya jokowi ngotot mau pindah ibu kota 
666, bpjs akan dibiayai china akan pindah ibu kota akan dibiayai china juga belum lagi rencana obor trus apa lagi 
667, lah dah biasa klau ngomong yah kebalikanya engak impor artinya impor besar an ekonomi meroket artinya ekonomi nyungseb pindah ibu kota yah kita lihat azh thn yg akn dtng jga masih jkt yg jdi ibu kota negara 
668, pindah ibu kota termasuk jihad apa gak ya
669, debat ibu kota jd pindah ga 
670,yang ku khawatirkan saat ibu kota pindah itu adalah menebalnya buku ips dan ppkn
671,survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
672,pindah ibu kota ibu kota baru ibu tiri dong biasanya ibu tiri lbih kejam dari ibu kandung selamat malam minggu bersedihlah para jomblo 
673,kepada yth mohon sgt jgn pernah setujui perpindahan ibu kota negara karna anda lah sebagai wakil rakyat yg menuntukan setuju atau gak nya jika ibu kota negara pindah di saat cemeraut seperti ini bukan tdk mungkin indonesia akan bangkrut krna hutang yg membengkak thank 
674,pindah ibu kota jalan pintas dan nasib aset triliunan di jakarta 
675, ini aja belom kelar udah mikirin pindah ibu kota lah ganti mobil dinas aya wae 
676, ntar lg diusulin ibu kota ri pindah ke peking
677, sejak ibu kota pindah batagor ya alloh 
678, pindah ibu kota bukan berarti menghilangkan jejak om 
679,siapa bilang pindah ibukota memberatkan apbn faktanya hanya terpakai saja atau setara t dari total t untuk membangun ibukota baru sisanya kerjasama swasta dan bumn sedangkan dki jakarta meminta t untuk perbaikan 
680, pindah ibu kota d kira mudah seperti meninggalkan solo k jakarta dr jakarta k istana 
681, pindah ibu kota tak semudah mendapatkan legacy toko meubel itu saja
682,salah satu yang harus dilakukan pemerintah dalam proses pemindahan ibu kota 
683,pusat pusat ekonomi terutama pusat korporasi diperkirakan akan ikut pindah 
684,ibu kota negara bakal pindah ke salah satu kota di kalimantan timur hmm kira kira dimana ya 
685,ibu kota negara bakal pindah ke salah satu kota di kalimantan timur hmm kira kira dimana ya 
686,ibu kota negara bakal pindah ke salah satu kota di kalimantan timur hmm kira kira dimana ya 
687, terlalu cerdas anda sehingga ketololan menyelimuti masa tua dn otak tua anda pahami dulu fungsi ibu kota baru berstatment kira kira klo loe pindah rumah ke setiap provinsi habis berapa loe bayangin loe pindah rumah tapi gak punya duit loe jual rumah loe bikin rumah baru tolol
688,efek isu ibu kota pindah kada setabil finansial sebagian orang 
689,semakin cepat ibu kota pindah baik untuk pemerataan ekonomi ri 
690, pindah ibu kota modus saja itu rakyat saja masih krisis dari sabang sampai meroke bbm naik semuanya naik pedangang semua mengeluh pake acara pindah ibu kota pidah sendiri saja itu mah modus buat takut takutin kecoak 
691, tutup soal pindah ibu kota gila tu orang saya tdk yakin bisa bangkrut negeri ini mending urus tu bbjs om ada yg mau jual data sepertinya jelas juta data itu menyankut semua itu ada lengkap seperti penghasilanya riwayat hidupnya riwayat kondisi fisiknya dan mentalnya 
692, jangan d pindahkan hati dia mba cukuplah ibu kota yg d pindah 
693,yang bikin liriknya sebel ga ya ibu kota mau pindah 
694,emil salim lebih baik bangun sdm ketimbang pindah ibu kota 
695, th lagi jaka a seperti apa pk sdh tepat kini saatnya ibu kota pindah tiap thn harga tanah bangunan naik kalimantan aman dari jalur gempa sunami ibukota baru harapan masa depan rakyat th kedepan 
696,nasib jakartah akan berubah jadi kota batu bila ibu kota negara pindah 
697,begini nasib jakarta jika ibu kota pindah 
698, memangnya pindah ibu kota harus mikir pak 
699,lokasi ibu kota baru semakin mengerucut namun rencana pindah ibu kota masih terganjal regulasi benarkah kalimantan timur menjadi dki selengkapnya dibahas dalam senin live pkl wib di 
700,perbedaan itu wajar dalam demokrasi yang tak wajar itu ada perbedaan lalu internet d blokir listrik d padam ibu kota di pindah n hukum tebang pilih 
701,klau ibu kota pindah papua keren keknya membangun dari timur 
702,kedaulatan di tangan rakyat ibu kota pindah rakyat tidak di libatkan 
703, ada orang papua yg cinta nkri tp pemerintah tindak tegas yg ingin lepas dr nkri opm eluh tau gk sejarah timor timur blajarlah dr pengalaman jgn koar pindah ibu kota n jaringan internet d papua d putus itu bukan solusi yg baik anda paham
704,hi guys akan membahas ada apa dengan jakarta gimana ya reaksinya marlo marco soal ibu kota pindah ke kalimantan ada jg none favorite jakarta selatan luna shabrina yg masuk di tonton keseruannya hari minggu pukul wib 
705, bilang ke serly kalau ibu kota pindah ke kalimantan ibu kota ri gak bakal banjir lagi deh
706,wajib tahu kelebihan dan kekurangan ibu kota baru yang jadi pindah ke kalimantan timur 
707,ngomongin soal pindah ibu kota kalo gue sendiri sih gak setuju menurut w pindah ibu kota bukan solusi justru malah nambah masalah apalagi perlu dana yang buanyak banget ujung nya nambah utang terus kalau jokowi udh kelar masa jabatan utang kan tetep ngalir terus wdyt 
708, ceritane ada yg sirik tuh om krna bang dki dpt pengahargaan banyak kan eh ibu kota mo d pindah mantul emang top bgt 
709,presiden dikelilingi jendral profesor doktor di tdk ada yg beda pendapat hal pindah ibukota baru 
710,berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
711,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
712,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
713,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
714,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
715,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
716,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
717, ibu kota negara pindah
718, kalau buat bayar hutang mereka ga dapat fee klo ibu kota di pindah yg jelas ribuan proyek akan bermunculan jika fee utk proyek kalikan ribuan apa ga megap di habisin duit nya 
719,belio pikir pindah ibukota semudah pindah kamar kos absurd 
720, tweet mu itu mulu zon ibu kota pindah lu panik truss lu coba cari kesalahan pemerintah zon zon panik amat lu lahan basa pindah tangan 
721,jikalau ibu kotanya pindah dari tanah jawa dwiva yg sdh terlindung dari arah utara ada kalimantan sulawesi dll timur ada papua nusantara selatan samudera hindia yg membentang luas barat masi harus melewati ada negara tetangga kalau ibu kota di kalimantan bagian utara 
722, asli zon panik ampe gk bisa tidur gegara ibu kota mau dipindah _ takut amat lu zon lahan basa pindah tang 
723,nah setuju banget nih pindah ibu kota ke papua aja pak 
724,tiap lima tahun pindah ibu kota 
725, kalau tujuan ibu kota untuk kordinasi kerja kabinet ga usah pindah ibukota udeh pake smartphone aja rapat kerjanya ini sudah jaman 
726,nasib kata dki usai ibu kota pindah dari jakarta 
727,sejarah mencatat ternyata ibu kota ri pernah pindah 
728, haha bani togog bisa apa paling rencana pindah ibu kota
729,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
730,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
731,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
732,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
733,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
734,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
735,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
736,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
737,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
738,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
739,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
740,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
741,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
742,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
743,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
744,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
745,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
746,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
747,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
748,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
749,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
750,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
751,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
752,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
753,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
754,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
755,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
756,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
757,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
758,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
759,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
760,soal pindah ibu kota pks ingatkan pemerintah harus bahas dengan dpr 
761, penghargaan itulah para togog mau pindah ibu kota mrk tdk sanggup lihat goodbener tiap hari terima penghargaan banyak yg mati mendadak 
762, dari pada ngomongin ibu kota pindah di ralat lg lieur 
763,survei berencana ajukan pensiun dini mayoritas pns ogah ibukota pindah ke kalimantan 
764,ibu kota negara bakal pindah mahasiswa kaltim di jakarta ajak rawat optimisme via 
